city,adjusted,type,type_label,race_ethnicity,value,labs,date_of_access,source,geo_level
San Diego,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,60.6,% Fully Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,72.5,% Fully Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,44.1,% Fully Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,77.9,% Fully Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,57.3,% Fully Vaccinated,2021-12-05,State,county
San Francisco,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,82.1,% Fully Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,81.8,% Fully Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,70.8,% Fully Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,89.6,% Fully Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,69.1,% Fully Vaccinated,2021-12-05,State,city
San Jose,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,62.2,% Fully Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,86.2,% Fully Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,62.9,% Fully Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,91.1,% Fully Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,70.6,% Fully Vaccinated,2021-12-05,State,county
Austin,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,8.8,% Partially Vaccinated,2021-12-12,State,county
Austin,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,8.8,% Partially Vaccinated,2021-12-12,State,county
Austin,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.4,% Partially Vaccinated,2021-12-12,State,county
Austin,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,6.1,% Partially Vaccinated,2021-12-12,State,county
Boston,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,9.1,% Partially Vaccinated,2021-12-07,LHD,city
Boston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,12.7,% Partially Vaccinated,2021-12-07,LHD,city
Boston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,7,% Partially Vaccinated,2021-12-07,LHD,city
Boston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,9.9,% Partially Vaccinated,2021-12-07,LHD,city
Boston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,8,% Partially Vaccinated,2021-12-07,LHD,city
Chicago,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,6.7,% Partially Vaccinated,2021-12-13,LHD,city
Chicago,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,6.8,% Partially Vaccinated,2021-12-13,LHD,city
Chicago,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.6,% Partially Vaccinated,2021-12-13,LHD,city
Chicago,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,25.1,% Partially Vaccinated,2021-12-13,LHD,city
Chicago,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,5,% Partially Vaccinated,2021-12-13,LHD,city
Dallas,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,8.8,% Partially Vaccinated,2021-12-12,State,county
Dallas,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,8.2,% Partially Vaccinated,2021-12-12,State,county
Dallas,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.6,% Partially Vaccinated,2021-12-12,State,county
Dallas,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,5.7,% Partially Vaccinated,2021-12-12,State,county
Detroit,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,20,% Partially Vaccinated,2021-12-14,LHD,city
Detroit,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,5.1,% Partially Vaccinated,2021-12-14,LHD,city
Detroit,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,4.4,% Partially Vaccinated,2021-12-14,LHD,city
Detroit,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,4.2,% Partially Vaccinated,2021-12-14,LHD,city
Detroit,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.5,% Partially Vaccinated,2021-12-14,LHD,city
Fort Worth,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,6.9,% Partially Vaccinated,2021-12-12,State,county
Fort Worth,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,7,% Partially Vaccinated,2021-12-12,State,county
Fort Worth,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.8,% Partially Vaccinated,2021-12-12,State,county
Fort Worth,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.7,% Partially Vaccinated,2021-12-12,State,county
Houston,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,8.9,% Partially Vaccinated,2021-12-12,State,county
Houston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,6.5,% Partially Vaccinated,2021-12-12,State,county
Houston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,6.1,% Partially Vaccinated,2021-12-12,State,county
Houston,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,5.5,% Partially Vaccinated,2021-12-12,State,county
Las Vegas (Metro),FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,12.6,% Partially Vaccinated,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,11,% Partially Vaccinated,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,7.2,% Partially Vaccinated,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,19.9,% Partially Vaccinated,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,6.6,% Partially Vaccinated,2021-11-30,LHD,county
Los Angeles,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,6.9,% Partially Vaccinated,2021-12-05,State,county
Los Angeles,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,6.2,% Partially Vaccinated,2021-12-05,State,county
Los Angeles,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.6,% Partially Vaccinated,2021-12-05,State,county
Los Angeles,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,11.2,% Partially Vaccinated,2021-12-05,State,county
Los Angeles,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,5.6,% Partially Vaccinated,2021-12-05,State,county
New York City,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,8.8,% Partially Vaccinated,2021-12-13,LHD,city
New York City,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,7.5,% Partially Vaccinated,2021-12-13,LHD,city
New York City,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.8,% Partially Vaccinated,2021-12-13,LHD,city
New York City,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,10,% Partially Vaccinated,2021-12-13,LHD,city
New York City,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.6,% Partially Vaccinated,2021-12-13,LHD,city
New York City,TRUE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,9.7,% Partially Vaccinated,2021-12-13,LHD,city
New York City,TRUE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,9.7,% Partially Vaccinated,2021-12-13,LHD,city
New York City,TRUE,% Partially Vaccinated,% Partially Vaccinated,NH Black,6.6,% Partially Vaccinated,2021-12-13,LHD,city
New York City,TRUE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,10.2,% Partially Vaccinated,2021-12-13,LHD,city
New York City,TRUE,% Partially Vaccinated,% Partially Vaccinated,NH White,5.1,% Partially Vaccinated,2021-12-13,LHD,city
Oakland,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,6.1,% Partially Vaccinated,2021-12-05,State,county
Oakland,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,7.2,% Partially Vaccinated,2021-12-05,State,county
Oakland,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,5.1,% Partially Vaccinated,2021-12-05,State,county
Oakland,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,10.4,% Partially Vaccinated,2021-12-05,State,county
Oakland,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.5,% Partially Vaccinated,2021-12-05,State,county
San Antonio,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,7.5,% Partially Vaccinated,2021-12-12,State,county
San Antonio,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,7.5,% Partially Vaccinated,2021-12-12,State,county
San Antonio,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,6.2,% Partially Vaccinated,2021-12-12,State,county
San Antonio,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,8.3,% Partially Vaccinated,2021-12-12,State,county
San Diego,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,11.6,% Partially Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,11.4,% Partially Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,7.6,% Partially Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,16.2,% Partially Vaccinated,2021-12-05,State,county
San Diego,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,9.3,% Partially Vaccinated,2021-12-05,State,county
San Francisco,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,8.9,% Partially Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,5.1,% Partially Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,6.1,% Partially Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,14.7,% Partially Vaccinated,2021-12-05,State,city
San Francisco,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.9,% Partially Vaccinated,2021-12-05,State,city
San Jose,FALSE,% Partially Vaccinated,% Partially Vaccinated,Hispanic,5.7,% Partially Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Asian/PI,6.1,% Partially Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Black,4.6,% Partially Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH Native American,13.7,% Partially Vaccinated,2021-12-05,State,county
San Jose,FALSE,% Partially Vaccinated,% Partially Vaccinated,NH White,4.2,% Partially Vaccinated,2021-12-05,State,county
Austin,FALSE,% with at least one dose,% with at least one dose,Hispanic,53.7,% with at least one dose,2021-12-12,State,county
Austin,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,79.5,% with at least one dose,2021-12-12,State,county
Austin,FALSE,% with at least one dose,% with at least one dose,NH Black,39.9,% with at least one dose,2021-12-12,State,county
Austin,FALSE,% with at least one dose,% with at least one dose,NH White,63.4,% with at least one dose,2021-12-12,State,county
Boston,FALSE,% with at least one dose,% with at least one dose,Hispanic,65.6,% with at least one dose,2021-12-07,LHD,city
Boston,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,95,% with at least one dose,2021-12-07,LHD,city
Boston,FALSE,% with at least one dose,% with at least one dose,NH Black,62.9,% with at least one dose,2021-12-07,LHD,city
Boston,FALSE,% with at least one dose,% with at least one dose,NH Native American,49.1,% with at least one dose,2021-12-07,LHD,city
Boston,FALSE,% with at least one dose,% with at least one dose,NH White,72.1,% with at least one dose,2021-12-07,LHD,city
Chicago,FALSE,% with at least one dose,% with at least one dose,Hispanic,65,% with at least one dose,2021-12-13,LHD,city
Chicago,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,82.9,% with at least one dose,2021-12-13,LHD,city
Chicago,FALSE,% with at least one dose,% with at least one dose,NH Black,52.4,% with at least one dose,2021-12-13,LHD,city
Chicago,FALSE,% with at least one dose,% with at least one dose,NH Native American,100,% with at least one dose,2021-12-13,LHD,city
Chicago,FALSE,% with at least one dose,% with at least one dose,NH White,75.3,% with at least one dose,2021-12-13,LHD,city
Dallas,FALSE,% with at least one dose,% with at least one dose,Hispanic,56.6,% with at least one dose,2021-12-12,State,county
Dallas,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,74.7,% with at least one dose,2021-12-12,State,county
Dallas,FALSE,% with at least one dose,% with at least one dose,NH Black,41.3,% with at least one dose,2021-12-12,State,county
Dallas,FALSE,% with at least one dose,% with at least one dose,NH White,56,% with at least one dose,2021-12-12,State,county
Detroit,FALSE,% with at least one dose,% with at least one dose,Hispanic,74.8,% with at least one dose,2021-12-14,LHD,city
Detroit,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,30.1,% with at least one dose,2021-12-14,LHD,city
Detroit,FALSE,% with at least one dose,% with at least one dose,NH Black,30.1,% with at least one dose,2021-12-14,LHD,city
Detroit,FALSE,% with at least one dose,% with at least one dose,NH Native American,27,% with at least one dose,2021-12-14,LHD,city
Detroit,FALSE,% with at least one dose,% with at least one dose,NH White,35.1,% with at least one dose,2021-12-14,LHD,city
Fort Worth,FALSE,% with at least one dose,% with at least one dose,Hispanic,49.1,% with at least one dose,2021-12-12,State,county
Fort Worth,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,71.2,% with at least one dose,2021-12-12,State,county
Fort Worth,FALSE,% with at least one dose,% with at least one dose,NH Black,44.3,% with at least one dose,2021-12-12,State,county
Fort Worth,FALSE,% with at least one dose,% with at least one dose,NH White,51,% with at least one dose,2021-12-12,State,county
Houston,FALSE,% with at least one dose,% with at least one dose,Hispanic,59.1,% with at least one dose,2021-12-12,State,county
Houston,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,68.5,% with at least one dose,2021-12-12,State,county
Houston,FALSE,% with at least one dose,% with at least one dose,NH Black,42.4,% with at least one dose,2021-12-12,State,county
Houston,FALSE,% with at least one dose,% with at least one dose,NH White,52.8,% with at least one dose,2021-12-12,State,county
Las Vegas (Metro),FALSE,% with at least one dose,% with at least one dose,Hispanic,57.9,% with at least one dose,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,65.5,% with at least one dose,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% with at least one dose,% with at least one dose,NH Black,41.1,% with at least one dose,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% with at least one dose,% with at least one dose,NH Native American,52.6,% with at least one dose,2021-11-30,LHD,county
Las Vegas (Metro),FALSE,% with at least one dose,% with at least one dose,NH White,44.7,% with at least one dose,2021-11-30,LHD,county
Los Angeles,FALSE,% with at least one dose,% with at least one dose,Hispanic,58,% with at least one dose,2021-12-05,State,county
Los Angeles,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,78.7,% with at least one dose,2021-12-05,State,county
Los Angeles,FALSE,% with at least one dose,% with at least one dose,NH Black,55.3,% with at least one dose,2021-12-05,State,county
Los Angeles,FALSE,% with at least one dose,% with at least one dose,NH Native American,82.9,% with at least one dose,2021-12-05,State,county
Los Angeles,FALSE,% with at least one dose,% with at least one dose,NH White,72.3,% with at least one dose,2021-12-05,State,county
New York City,FALSE,% with at least one dose,% with at least one dose,Hispanic,71.6,% with at least one dose,2021-12-13,LHD,city
New York City,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,93.1,% with at least one dose,2021-12-13,LHD,city
New York City,FALSE,% with at least one dose,% with at least one dose,NH Black,55.5,% with at least one dose,2021-12-13,LHD,city
New York City,FALSE,% with at least one dose,% with at least one dose,NH Native American,100,% with at least one dose,2021-12-13,LHD,city
New York City,FALSE,% with at least one dose,% with at least one dose,NH White,61.3,% with at least one dose,2021-12-13,LHD,city
New York City,TRUE,% with at least one dose,% with at least one dose,Hispanic,74.4,% with at least one dose,2021-12-13,LHD,city
New York City,TRUE,% with at least one dose,% with at least one dose,NH Asian/PI,96.3,% with at least one dose,2021-12-13,LHD,city
New York City,TRUE,% with at least one dose,% with at least one dose,NH Black,55.4,% with at least one dose,2021-12-13,LHD,city
New York City,TRUE,% with at least one dose,% with at least one dose,NH Native American,100,% with at least one dose,2021-12-13,LHD,city
New York City,TRUE,% with at least one dose,% with at least one dose,NH White,60.3,% with at least one dose,2021-12-13,LHD,city
Oakland,FALSE,% with at least one dose,% with at least one dose,Hispanic,65.6,% with at least one dose,2021-12-05,State,county
Oakland,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,88.7,% with at least one dose,2021-12-05,State,county
Oakland,FALSE,% with at least one dose,% with at least one dose,NH Black,61.8,% with at least one dose,2021-12-05,State,county
Oakland,FALSE,% with at least one dose,% with at least one dose,NH Native American,78.4,% with at least one dose,2021-12-05,State,county
Oakland,FALSE,% with at least one dose,% with at least one dose,NH White,73.3,% with at least one dose,2021-12-05,State,county
San Antonio,FALSE,% with at least one dose,% with at least one dose,Hispanic,50.6,% with at least one dose,2021-12-12,State,county
San Antonio,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,60.3,% with at least one dose,2021-12-12,State,county
San Antonio,FALSE,% with at least one dose,% with at least one dose,NH Black,39.5,% with at least one dose,2021-12-12,State,county
San Antonio,FALSE,% with at least one dose,% with at least one dose,NH White,66.1,% with at least one dose,2021-12-12,State,county
San Diego,FALSE,% with at least one dose,% with at least one dose,Hispanic,72.3,% with at least one dose,2021-12-05,State,county
San Diego,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,84,% with at least one dose,2021-12-05,State,county
San Diego,FALSE,% with at least one dose,% with at least one dose,NH Black,51.7,% with at least one dose,2021-12-05,State,county
San Diego,FALSE,% with at least one dose,% with at least one dose,NH Native American,94.1,% with at least one dose,2021-12-05,State,county
San Diego,FALSE,% with at least one dose,% with at least one dose,NH White,66.6,% with at least one dose,2021-12-05,State,county
San Francisco,FALSE,% with at least one dose,% with at least one dose,Hispanic,91,% with at least one dose,2021-12-05,State,city
San Francisco,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,86.8,% with at least one dose,2021-12-05,State,city
San Francisco,FALSE,% with at least one dose,% with at least one dose,NH Black,76.9,% with at least one dose,2021-12-05,State,city
San Francisco,FALSE,% with at least one dose,% with at least one dose,NH Native American,100,% with at least one dose,2021-12-05,State,city
San Francisco,FALSE,% with at least one dose,% with at least one dose,NH White,74,% with at least one dose,2021-12-05,State,city
San Jose,FALSE,% with at least one dose,% with at least one dose,Hispanic,67.9,% with at least one dose,2021-12-05,State,county
San Jose,FALSE,% with at least one dose,% with at least one dose,NH Asian/PI,92.4,% with at least one dose,2021-12-05,State,county
San Jose,FALSE,% with at least one dose,% with at least one dose,NH Black,67.6,% with at least one dose,2021-12-05,State,county
San Jose,FALSE,% with at least one dose,% with at least one dose,NH Native American,100,% with at least one dose,2021-12-05,State,county
