city,outcome,outcome_label,outcome_value,exposure,exposure_value,percentile_25,percentile_75,cat,date_of_access,source,geo_level
Las Vegas (Metro),Incidence,Cases per 100K,4955.35360207058,% Hispanic,31.1356441143096,10.7297914851693,34.8012400365087,middle,2021-10-14,JHU,county
Los Angeles,Incidence,Cases per 100K,5172.1247738117,% Hispanic,48.4608019892431,10.7297914851693,34.8012400365087,top,2021-10-14,JHU,county
Minneapolis,Incidence,Cases per 100K,11254.1753504439,% Hispanic,9.61924610538537,10.7297914851693,34.8012400365087,bottom,2021-10-14,LHD,city
New York City,Incidence,Cases per 100K,10724.8736120606,% Hispanic,29.0743571092949,10.7297914851693,34.8012400365087,middle,2021-10-14,LHD,city
Oakland,Incidence,Cases per 100K,8713.07019339116,% Hispanic,27.0390052152803,10.7297914851693,34.8012400365087,middle,2021-10-12,LHD,city
Philadelphia,Incidence,Cases per 100K,11272.0421765907,% Hispanic,14.6831531117901,10.7297914851693,34.8012400365087,middle,2021-10-14,LHD,city
Phoenix,Incidence,Cases per 100K,5474.21524867009,% Hispanic,42.6193358672935,10.7297914851693,34.8012400365087,top,2021-10-14,JHU,county
Portland,Incidence,Cases per 100K,2292.58018426368,% Hispanic,9.71592661295447,10.7297914851693,34.8012400365087,bottom,2021-10-14,JHU,county
San Antonio,Incidence,Cases per 100K,5644.82548013669,% Hispanic,64.2346608243711,10.7297914851693,34.8012400365087,top,2021-10-14,JHU,county
San Diego,Incidence,Cases per 100K,3581.21341259881,% Hispanic,30.3344346124678,10.7297914851693,34.8012400365087,middle,2021-10-14,JHU,county
San Francisco,Incidence,Cases per 100K,5861.17552668062,% Hispanic,15.2365648297467,10.7297914851693,34.8012400365087,middle,2021-10-09,LHD,city
San Jose,Incidence,Cases per 100K,13958.9759557843,% Hispanic,31.6095320573325,10.7297914851693,34.8012400365087,middle,2021-10-13,LHD,county
Seattle,Incidence,Cases per 100K,2271.62101467739,% Hispanic,6.65865899034247,10.7297914851693,34.8012400365087,bottom,2021-10-14,JHU,county
Washington,Incidence,Cases per 100K,3055.85411165128,% Hispanic,10.9994037676686,10.7297914851693,34.8012400365087,middle,2021-10-14,JHU,city
Austin,Incidence,Cases per 100K,12581.9435490063,% NH-Black,7.42716450341657,7.72411369502659,28.5357204408988,bottom,2021-10-14,LHD,city
Baltimore,Incidence,Cases per 100K,9933.13980217788,% NH-Black,61.7706458773923,7.72411369502659,28.5357204408988,top,2021-10-14,LHD,county
Boston,Incidence,Cases per 100K,4372.736146829,% NH-Black,22.6622967683111,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Charlotte,Incidence,Cases per 100K,4967.26851881477,% NH-Black,34.6155057293641,7.72411369502659,28.5357204408988,top,2021-10-14,JHU,county
Chicago,Incidence,Cases per 100K,11864.438682076,% NH-Black,29.1892628031241,7.72411369502659,28.5357204408988,top,2021-10-14,LHD,city
Cleveland,Incidence,Cases per 100K,37255.3090982709,% NH-Black,48.1787366137011,7.72411369502659,28.5357204408988,top,2021-10-13,LHD,county
Columbus,Incidence,Cases per 100K,18400.0282282344,% NH-Black,28.6315111325099,7.72411369502659,28.5357204408988,top,2021-10-13,LHD,county
Dallas,Incidence,Cases per 100K,5081.10632761285,% NH-Black,23.9512344695524,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Denver,Incidence,Cases per 100K,4051.4060170944,% NH-Black,8.89401000034015,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,city
Detroit,Incidence,Cases per 100K,3747.5490238002,% NH-Black,77.9817764480819,7.72411369502659,28.5357204408988,top,2021-10-14,JHU,county
Fort Worth,Incidence,Cases per 100K,5741.29311713433,% NH-Black,18.5249101956654,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Houston,Incidence,Cases per 100K,4126.06342416782,% NH-Black,22.0934872785696,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Indianapolis,Incidence,Cases per 100K,15512.1135246001,% NH-Black,28.2483483660652,7.72411369502659,28.5357204408988,middle,2021-10-13,LHD,county
Kansas City,Incidence,Cases per 100K,11109.078050345,% NH-Black,27.9436435555629,7.72411369502659,28.5357204408988,middle,2021-10-09,LHD,city
Las Vegas (Metro),Incidence,Cases per 100K,4955.35360207058,% NH-Black,11.2310976515167,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Los Angeles,Incidence,Cases per 100K,5172.1247738117,% NH-Black,8.61496126985663,7.72411369502659,28.5357204408988,middle,2021-10-14,JHU,county
Minneapolis,Incidence,Cases per 100K,11254.1753504439,% NH-Black,18.8982784708939,7.72411369502659,28.5357204408988,middle,2021-10-14,LHD,city
New York City,Incidence,Cases per 100K,10724.8736120606,% NH-Black,21.8253953171493,7.72411369502659,28.5357204408988,middle,2021-10-14,LHD,city
Oakland,Incidence,Cases per 100K,8713.07019339116,% NH-Black,23.2297569731144,7.72411369502659,28.5357204408988,middle,2021-10-12,LHD,city
Philadelphia,Incidence,Cases per 100K,11272.0421765907,% NH-Black,40.829156309865,7.72411369502659,28.5357204408988,top,2021-10-14,LHD,city
Phoenix,Incidence,Cases per 100K,5474.21524867009,% NH-Black,6.73324282600855,7.72411369502659,28.5357204408988,bottom,2021-10-14,JHU,county
Portland,Incidence,Cases per 100K,2292.58018426368,% NH-Black,5.6340472747954,7.72411369502659,28.5357204408988,bottom,2021-10-14,JHU,county
San Antonio,Incidence,Cases per 100K,5644.82548013669,% NH-Black,6.443146696833,7.72411369502659,28.5357204408988,bottom,2021-10-14,JHU,county
San Diego,Incidence,Cases per 100K,3581.21341259881,% NH-Black,6.04587346664557,7.72411369502659,28.5357204408988,bottom,2021-10-14,JHU,county
San Francisco,Incidence,Cases per 100K,5861.17552668062,% NH-Black,5.00388017294485,7.72411369502659,28.5357204408988,bottom,2021-10-09,LHD,city
San Jose,Incidence,Cases per 100K,13958.9759557843,% NH-Black,2.83441504733918,7.72411369502659,28.5357204408988,bottom,2021-10-13,LHD,county
Seattle,Incidence,Cases per 100K,2271.62101467739,% NH-Black,7.17059802155169,7.72411369502659,28.5357204408988,bottom,2021-10-14,JHU,county
Washington,Incidence,Cases per 100K,3055.85411165128,% NH-Black,45.4427205518253,7.72411369502659,28.5357204408988,top,2021-10-14,JHU,city
Austin,Incidence,Cases per 100K,12581.9435490063,% NH Asian/PI,7.55253169149996,3.50851232142267,11.2509525434844,middle,2021-10-14,LHD,city
Baltimore,Incidence,Cases per 100K,9933.13980217788,% NH Asian/PI,2.60298309448436,3.50851232142267,11.2509525434844,bottom,2021-10-14,LHD,county
Boston,Incidence,Cases per 100K,4372.736146829,% NH Asian/PI,9.64056465788693,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Charlotte,Incidence,Cases per 100K,4967.26851881477,% NH Asian/PI,6.54179665859988,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Chicago,Incidence,Cases per 100K,11864.438682076,% NH Asian/PI,6.55621963038663,3.50851232142267,11.2509525434844,middle,2021-10-14,LHD,city
Cleveland,Incidence,Cases per 100K,37255.3090982709,% NH Asian/PI,2.55267570247247,3.50851232142267,11.2509525434844,bottom,2021-10-13,LHD,county
Columbus,Incidence,Cases per 100K,18400.0282282344,% NH Asian/PI,5.83311422304631,3.50851232142267,11.2509525434844,middle,2021-10-13,LHD,county
Dallas,Incidence,Cases per 100K,5081.10632761285,% NH Asian/PI,3.38573528571815,3.50851232142267,11.2509525434844,bottom,2021-10-14,JHU,county
Denver,Incidence,Cases per 100K,4051.4060170944,% NH Asian/PI,3.77407961722054,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,city
Detroit,Incidence,Cases per 100K,3747.5490238002,% NH Asian/PI,1.67921036214456,3.50851232142267,11.2509525434844,bottom,2021-10-14,JHU,county
Fort Worth,Incidence,Cases per 100K,5741.29311713433,% NH Asian/PI,4.58256566495235,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Houston,Incidence,Cases per 100K,4126.06342416782,% NH Asian/PI,6.75479737122755,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Indianapolis,Incidence,Cases per 100K,15512.1135246001,% NH Asian/PI,3.41998988949004,3.50851232142267,11.2509525434844,bottom,2021-10-13,LHD,county
Kansas City,Incidence,Cases per 100K,11109.078050345,% NH Asian/PI,2.84948314569782,3.50851232142267,11.2509525434844,bottom,2021-10-09,LHD,city
Las Vegas (Metro),Incidence,Cases per 100K,4955.35360207058,% NH Asian/PI,10.232061902728,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Los Angeles,Incidence,Cases per 100K,5172.1247738117,% NH Asian/PI,11.5905827570699,3.50851232142267,11.2509525434844,top,2021-10-14,JHU,county
Minneapolis,Incidence,Cases per 100K,11254.1753504439,% NH Asian/PI,5.93661080499805,3.50851232142267,11.2509525434844,middle,2021-10-14,LHD,city
New York City,Incidence,Cases per 100K,10724.8736120606,% NH Asian/PI,14.0105205696045,3.50851232142267,11.2509525434844,top,2021-10-14,LHD,city
Oakland,Incidence,Cases per 100K,8713.07019339116,% NH Asian/PI,15.8627325057575,3.50851232142267,11.2509525434844,top,2021-10-12,LHD,city
Philadelphia,Incidence,Cases per 100K,11272.0421765907,% NH Asian/PI,7.21175371657458,3.50851232142267,11.2509525434844,middle,2021-10-14,LHD,city
Phoenix,Incidence,Cases per 100K,5474.21524867009,% NH Asian/PI,3.84974559358537,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
Portland,Incidence,Cases per 100K,2292.58018426368,% NH Asian/PI,8.67717045488005,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,county
San Antonio,Incidence,Cases per 100K,5644.82548013669,% NH Asian/PI,2.79367912774032,3.50851232142267,11.2509525434844,bottom,2021-10-14,JHU,county
San Diego,Incidence,Cases per 100K,3581.21341259881,% NH Asian/PI,16.8084944873377,3.50851232142267,11.2509525434844,top,2021-10-14,JHU,county
San Francisco,Incidence,Cases per 100K,5861.17552668062,% NH Asian/PI,34.4063335394378,3.50851232142267,11.2509525434844,top,2021-10-09,LHD,city
San Jose,Incidence,Cases per 100K,13958.9759557843,% NH Asian/PI,36.0966828518328,3.50851232142267,11.2509525434844,top,2021-10-13,LHD,county
Seattle,Incidence,Cases per 100K,2271.62101467739,% NH Asian/PI,15.5805910493508,3.50851232142267,11.2509525434844,top,2021-10-14,JHU,county
Washington,Incidence,Cases per 100K,3055.85411165128,% NH Asian/PI,3.96934817225195,3.50851232142267,11.2509525434844,middle,2021-10-14,JHU,city
Austin,Incidence,Cases per 100K,12581.9435490063,% NH Native American,0.186788696339005,0.174312629873896,0.330388362059734,middle,2021-10-14,LHD,city
Baltimore,Incidence,Cases per 100K,9933.13980217788,% NH Native American,0.236769168122529,0.174312629873896,0.330388362059734,middle,2021-10-14,LHD,county
Boston,Incidence,Cases per 100K,4372.736146829,% NH Native American,0.201058185595993,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,county
Charlotte,Incidence,Cases per 100K,4967.26851881477,% NH Native American,0.289471382336648,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,county
Chicago,Incidence,Cases per 100K,11864.438682076,% NH Native American,0.100312452251937,0.174312629873896,0.330388362059734,bottom,2021-10-14,LHD,city
Cleveland,Incidence,Cases per 100K,37255.3090982709,% NH Native American,0.177532301015879,0.174312629873896,0.330388362059734,middle,2021-10-13,LHD,county
Columbus,Incidence,Cases per 100K,18400.0282282344,% NH Native American,0.173239406159902,0.174312629873896,0.330388362059734,bottom,2021-10-13,LHD,county
Dallas,Incidence,Cases per 100K,5081.10632761285,% NH Native American,0.140912602621951,0.174312629873896,0.330388362059734,bottom,2021-10-14,JHU,county
Denver,Incidence,Cases per 100K,4051.4060170944,% NH Native American,0.451545970951393,0.174312629873896,0.330388362059734,top,2021-10-14,JHU,city
Detroit,Incidence,Cases per 100K,3747.5490238002,% NH Native American,0.327929097372566,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,county
Fort Worth,Incidence,Cases per 100K,5741.29311713433,% NH Native American,0.281106723345467,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,county
Houston,Incidence,Cases per 100K,4126.06342416782,% NH Native American,0.122920735169873,0.174312629873896,0.330388362059734,bottom,2021-10-14,JHU,county
Indianapolis,Incidence,Cases per 100K,15512.1135246001,% NH Native American,0.208109924610763,0.174312629873896,0.330388362059734,middle,2021-10-13,LHD,county
Kansas City,Incidence,Cases per 100K,11109.078050345,% NH Native American,0.276724697987681,0.174312629873896,0.330388362059734,middle,2021-10-09,LHD,city
Las Vegas (Metro),Incidence,Cases per 100K,4955.35360207058,% NH Native American,0.462418950652703,0.174312629873896,0.330388362059734,top,2021-10-14,JHU,county
Los Angeles,Incidence,Cases per 100K,5172.1247738117,% NH Native American,0.160678165717824,0.174312629873896,0.330388362059734,bottom,2021-10-14,JHU,county
Minneapolis,Incidence,Cases per 100K,11254.1753504439,% NH Native American,1.14292783662127,0.174312629873896,0.330388362059734,top,2021-10-14,LHD,city
New York City,Incidence,Cases per 100K,10724.8736120606,% NH Native American,0.171783551062818,0.174312629873896,0.330388362059734,bottom,2021-10-14,LHD,city
Oakland,Incidence,Cases per 100K,8713.07019339116,% NH Native American,0.342274821981806,0.174312629873896,0.330388362059734,top,2021-10-12,LHD,city
Philadelphia,Incidence,Cases per 100K,11272.0421765907,% NH Native American,0.21170622041385,0.174312629873896,0.330388362059734,middle,2021-10-14,LHD,city
Phoenix,Incidence,Cases per 100K,5474.21524867009,% NH Native American,1.64431846086109,0.174312629873896,0.330388362059734,top,2021-10-14,JHU,county
Portland,Incidence,Cases per 100K,2292.58018426368,% NH Native American,0.64048623024341,0.174312629873896,0.330388362059734,top,2021-10-14,JHU,county
San Antonio,Incidence,Cases per 100K,5644.82548013669,% NH Native American,0.156291132517242,0.174312629873896,0.330388362059734,bottom,2021-10-14,JHU,county
San Diego,Incidence,Cases per 100K,3581.21341259881,% NH Native American,0.215668149148714,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,county
San Francisco,Incidence,Cases per 100K,5861.17552668062,% NH Native American,0.186751180909778,0.174312629873896,0.330388362059734,middle,2021-10-09,LHD,city
San Jose,Incidence,Cases per 100K,13958.9759557843,% NH Native American,0.17865309577791,0.174312629873896,0.330388362059734,middle,2021-10-13,LHD,county
Seattle,Incidence,Cases per 100K,2271.62101467739,% NH Native American,0.436004169514224,0.174312629873896,0.330388362059734,top,2021-10-14,JHU,county
Washington,Incidence,Cases per 100K,3055.85411165128,% NH Native American,0.204711245981206,0.174312629873896,0.330388362059734,middle,2021-10-14,JHU,city
Austin,Incidence,Cases per 100K,12581.9435490063,% NH White,48.2838262654776,28.3324232079248,47.3369690651028,top,2021-10-14,LHD,city
Baltimore,Incidence,Cases per 100K,9933.13980217788,% NH White,27.4911663098162,28.3324232079248,47.3369690651028,bottom,2021-10-14,LHD,county
Boston,Incidence,Cases per 100K,4372.736146829,% NH White,44.4963974639783,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Charlotte,Incidence,Cases per 100K,4967.26851881477,% NH White,41.4802460856635,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Chicago,Incidence,Cases per 100K,11864.438682076,% NH White,33.2813317714411,28.3324232079248,47.3369690651028,middle,2021-10-14,LHD,city
Cleveland,Incidence,Cases per 100K,37255.3090982709,% NH White,33.7962842800858,28.3324232079248,47.3369690651028,middle,2021-10-13,LHD,county
Columbus,Incidence,Cases per 100K,18400.0282282344,% NH White,55.1321320398428,28.3324232079248,47.3369690651028,top,2021-10-13,LHD,county
Dallas,Incidence,Cases per 100K,5081.10632761285,% NH White,28.9661449017445,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Denver,Incidence,Cases per 100K,4051.4060170944,% NH White,54.1724775219112,28.3324232079248,47.3369690651028,top,2021-10-14,JHU,city
Detroit,Incidence,Cases per 100K,3747.5490238002,% NH White,10.5247013741015,28.3324232079248,47.3369690651028,bottom,2021-10-14,JHU,county
Fort Worth,Incidence,Cases per 100K,5741.29311713433,% NH White,39.1736743210495,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Houston,Incidence,Cases per 100K,4126.06342416782,% NH White,24.4129236437169,28.3324232079248,47.3369690651028,bottom,2021-10-14,JHU,county
Indianapolis,Incidence,Cases per 100K,15512.1135246001,% NH White,54.4759829116186,28.3324232079248,47.3369690651028,top,2021-10-13,LHD,county
Kansas City,Incidence,Cases per 100K,11109.078050345,% NH White,55.1636088519009,28.3324232079248,47.3369690651028,top,2021-10-09,LHD,city
Las Vegas (Metro),Incidence,Cases per 100K,4955.35360207058,% NH White,42.7746236945487,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Los Angeles,Incidence,Cases per 100K,5172.1247738117,% NH White,28.4843516507451,28.3324232079248,47.3369690651028,middle,2021-10-14,JHU,county
Minneapolis,Incidence,Cases per 100K,11254.1753504439,% NH White,59.9965740714306,28.3324232079248,47.3369690651028,top,2021-10-14,LHD,city
New York City,Incidence,Cases per 100K,10724.8736120606,% NH White,32.096265302312,28.3324232079248,47.3369690651028,middle,2021-10-14,LHD,city
Oakland,Incidence,Cases per 100K,8713.07019339116,% NH White,28.2817803936513,28.3324232079248,47.3369690651028,bottom,2021-10-12,LHD,city
